原始序号,模型名称,一级分类,二级分类,model_type,architecture,target_stem,config_instruments,config_target_instrument,大小MiB,支持状态,推荐标签,业务场景,能力,备注,分类依据
292,bs_roformer_voc_hyperacev2.ckpt,人声,人声提取,bs_roformer,bs_roformer,vocals,,,275.3,supported,首选,vocal,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,vocal/vocals 名称
293,bs_roformer_vocals_gabox.ckpt,人声,人声提取,bs_roformer,bs_roformer,vocals,Vocals|Instrumental,Vocals,609.6,supported,首选,vocal|instrumental,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config target_instrument=vocals
294,HTDemucs4_FT_vocals_official.th,人声,人声提取,htdemucs,htdemucs,vocals,,,80.2,supported,,vocal,人声提取,输出目标：vocals。依据：vocal/vocals 名称,vocal/vocals 名称
295,inst_fv7b.ckpt,人声,人声提取,mel_band_roformer,mel_band_roformer,vocals,Vocals|Instrumental,Vocals,870.7,supported,首选,vocal|instrumental,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config target_instrument=vocals
296,instv7beta2.ckpt,人声,人声提取,mel_band_roformer,mel_band_roformer,vocals,Vocals|Instrumental,Vocals,870.7,supported,首选,vocal|instrumental,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config target_instrument=vocals
297,instv7beta3.ckpt,人声,人声提取,mel_band_roformer,mel_band_roformer,vocals,Vocals|Instrumental,Vocals,870.7,supported,首选,vocal|instrumental,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config target_instrument=vocals
298,instv7plus.ckpt,人声,人声提取,mel_band_roformer,mel_band_roformer,vocals,Vocals|Instrumental,Vocals,870.7,supported,首选,vocal|instrumental,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config target_instrument=vocals
299,Kim_MelBandRoformer.ckpt,人声,人声提取,mel_band_roformer,mel_band_roformer,vocals,,,870.8,supported,首选,vocal,vocals（人声）,推荐依据：SOTA 人声分离；高保真人声提取，保护高频齿音。,vocal/vocals 名称
300,kimmel_unwa_ft.ckpt,人声,人声提取,mel_band_roformer,mel_band_roformer,vocals,vocals|other,vocals,870.8,supported,首选,vocal,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config target_instrument=vocals
301,kimmel_unwa_ft2.ckpt,人声,人声提取,mel_band_roformer,mel_band_roformer,vocals,vocals|other,vocals,870.8,supported,精选,vocal,vocals（人声）,推荐依据：社区常用人声微调版；适合保留齿音细节的人声提取。,config target_instrument=vocals
302,kimmel_unwa_ft3_prev.ckpt,人声,人声提取,mel_band_roformer,mel_band_roformer,vocals,vocals|other,vocals,870.8,supported,首选,vocal,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config target_instrument=vocals
303,last_bs_roformer.ckpt,人声,人声提取,bs_roformer,bs_roformer,vocals,vocals|other,vocals,195.0,supported,首选,vocal,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config target_instrument=vocals
304,mel_band_roformer_vocal_fullness_aname.ckpt,人声,人声提取,mel_band_roformer,mel_band_roformer,vocals,vocals|other,vocals,870.8,supported,首选,vocal,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config target_instrument=vocals
305,mel_band_roformer_vocals_becruily.ckpt,人声,人声提取,mel_band_roformer,mel_band_roformer,vocals,vocals|other,vocals,870.8,supported,首选,vocal,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config target_instrument=vocals
306,mel_band_roformer_vocals_fv1_gabox.ckpt,人声,人声提取,mel_band_roformer,mel_band_roformer,vocals,Vocals|Instrumental,Vocals,870.7,supported,首选,vocal|instrumental,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config target_instrument=vocals
307,mel_band_roformer_vocals_fv2_gabox.ckpt,人声,人声提取,mel_band_roformer,mel_band_roformer,vocals,Vocals|Instrumental,Vocals,870.7,supported,首选,vocal|instrumental,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config target_instrument=vocals
308,mel_band_roformer_vocals_fv3_gabox.ckpt,人声,人声提取,mel_band_roformer,mel_band_roformer,vocals,Vocals|Instrumental,Vocals,870.7,supported,首选,vocal|instrumental,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config target_instrument=vocals
309,mel_band_roformer_vocals_fv4_gabox.ckpt,人声,人声提取,mel_band_roformer,mel_band_roformer,vocals,Vocals|Instrumental,Vocals,870.7,supported,首选,vocal|instrumental,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config target_instrument=vocals
310,mel_band_roformer_vocals_fv5_gabox.ckpt,人声,人声提取,mel_band_roformer,mel_band_roformer,vocals,Vocals|Instrumental,Vocals,870.7,supported,首选,vocal|instrumental,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config target_instrument=vocals
311,mel_band_roformer_vocals_fv6_gabox.ckpt,人声,人声提取,mel_band_roformer,mel_band_roformer,vocals,Vocals|Instrumental,Vocals,870.7,supported,首选,vocal|instrumental,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config target_instrument=vocals
312,mel_band_roformer_vocals_fv7b_gabox.ckpt,人声,人声提取,mel_band_roformer,mel_band_roformer,vocals,Vocals|Instrumental,Vocals,870.8,supported,首选,vocal|instrumental,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config target_instrument=vocals
313,mel_band_roformer_vocals_gabox.ckpt,人声,人声提取,mel_band_roformer,mel_band_roformer,vocals,Vocals|Instrumental,Vocals,870.7,supported,首选,vocal|instrumental,vocals（人声）,推荐依据：MelBand RoFormer 人声强模型；适合复杂混音主唱提取。,config target_instrument=vocals
314,mel_band_roformer_vocals_v2_gabox.ckpt,人声,人声提取,mel_band_roformer,mel_band_roformer,vocals,Vocals|Instrumental,Vocals,870.7,supported,首选,vocal|instrumental,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config target_instrument=vocals
315,melband_roformer_big_beta1.ckpt,人声,人声提取,mel_band_roformer,mel_band_roformer,vocals,vocals|other,vocals,1411.2,supported,首选,vocal,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config target_instrument=vocals
316,melband_roformer_big_beta2.ckpt,人声,人声提取,mel_band_roformer,mel_band_roformer,vocals,vocals|other,vocals,1411.2,supported,首选,vocal,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config target_instrument=vocals
317,melband_roformer_big_beta3.ckpt,人声,人声提取,mel_band_roformer,mel_band_roformer,vocals,vocals|other,vocals,1411.2,supported,首选,vocal,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config target_instrument=vocals
318,melband_roformer_big_beta4.ckpt,人声,人声提取,mel_band_roformer,mel_band_roformer,vocals,vocals|other,vocals,1501.5,supported,首选,vocal,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config target_instrument=vocals
319,model_bs_roformer_ep_317_sdr_12.9755.ckpt,人声,人声提取,bs_roformer,bs_roformer,vocals,Vocals|Instrumental,Vocals,609.7,supported,首选,vocal|instrumental,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config target_instrument=vocals
320,model_bs_roformer_ep_368_sdr_12.9628.ckpt,人声,人声提取,bs_roformer,bs_roformer,vocals,Vocals|Instrumental,Vocals,609.7,supported,首选,vocal|instrumental,vocals（人声）,推荐依据：BS-RoFormer 高质量双轨；适合通用歌曲人声分离。,config target_instrument=vocals
321,model_bsrofomer_essid_vocals.ckpt,人声,人声提取,bs_roformer,bs_roformer,vocals,vocals|other,vocals,609.7,supported,首选,vocal,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config target_instrument=vocals
322,model_mel_band_roformer_ep_3005_sdr_11.4360.ckpt,人声,人声提取,mel_band_roformer,mel_band_roformer,vocals,Vocals|Instrumental,Vocals,961.1,supported,首选,vocal|instrumental,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config target_instrument=vocals
323,model_vocals.ckpt,人声,人声提取,mel_band_roformer,mel_band_roformer,vocals,vocals|other,vocals,692.2,supported,首选,vocal,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config target_instrument=vocals
324,model_vocals_mel_band_roformer_sdr_8.42.ckpt,人声,人声提取,mel_band_roformer,mel_band_roformer,vocals,vocals|other,vocals,128.7,supported,首选,vocal,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config target_instrument=vocals
325,voc_fv7.ckpt,人声,人声提取,mel_band_roformer,mel_band_roformer,vocals,Vocals|Instrumental,Vocals,466.9,supported,首选,vocal|instrumental,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config target_instrument=vocals
326,vocfv7beta2.ckpt,人声,人声提取,mel_band_roformer,mel_band_roformer,vocals,Vocals|Instrumental,Vocals,870.7,supported,首选,vocal|instrumental,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config target_instrument=vocals
327,vocfv7beta3.ckpt,人声,人声提取,mel_band_roformer,mel_band_roformer,vocals,Vocals|Instrumental,Vocals,870.7,supported,首选,vocal|instrumental,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config target_instrument=vocals
328,bs_roformer_male_female_by_aufr33_sdr_7.2889.ckpt,人声,男女声/合唱分离,bs_roformer,bs_roformer,vocals,male|female,,502.7,supported,首选,vocal|choir,male/female vocals（男女声）,推荐依据：Male/Female 分离；适合男女声拆分。,male/female/chorus 名称
329,model_chorus_bs_roformer_ep_146_sdr_23.8613.ckpt,人声,男女声/合唱分离,bs_roformer,bs_roformer,vocals,male|female,,502.7,supported,首选,vocal|choir,male/female vocals（男女声）,推荐依据：男女声分离模型；适合对唱、合唱声部拆分。,male/female/chorus 名称
330,model_chorus_bs_roformer_ep_267_sdr_24.1275.ckpt,人声,男女声/合唱分离,bs_roformer,bs_roformer,vocals,male|female,,502.7,supported,首选,vocal|choir,male/female vocals（男女声）,推荐依据：男女声/合唱分离；适合对唱、合唱声部拆分。,male/female/chorus 名称
331,becruily_deux.ckpt,人声,人声-伴奏双向分离,mel_band_roformer,mel_band_roformer,vocals/instrumental,Vocals|Instrumental,,414.9,supported,首选,vocal|instrumental,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config two stems
332,BS-Roformer-Resurrection-Inst.ckpt,人声,人声-伴奏双向分离,bs_roformer,bs_roformer,vocals/instrumental,vocals|other,other,195.0,supported,首选,vocal|instrumental,instrumental（伴奏）,推荐依据：BS-RoFormer 伴奏强模型；适合高质量去人声。,config two stems
333,BS_Inst_EXP_VRL.ckpt,人声,人声-伴奏双向分离,bs_roformer,bs_roformer,vocals/instrumental,vocals|other,other,375.1,supported,首选,vocal|instrumental,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config two stems
334,bs_roformer_fno.ckpt,人声,人声-伴奏双向分离,bs_roformer,bs_roformer,vocals/instrumental,vocals|other,other,316.6,supported,首选,vocal|instrumental,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config two stems
335,bs_roformer_instrumental_resurrection_gabox.ckpt,人声,人声-伴奏双向分离,bs_roformer,bs_roformer,vocals/instrumental,vocals|other,other,195.0,supported,首选,vocal|instrumental,instrumental（伴奏）,推荐依据：RoFormer 伴奏模型；适合伴奏提取与批量处理。,config two stems
336,duality_v1.ckpt,人声,人声-伴奏双向分离,mel_band_roformer,mel_band_roformer,vocals/instrumental,,,870.7,supported,首选,vocal|instrumental,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,InstVoc/Duality 名称
337,essid_mel_vocal_v1.ckpt,人声,人声-伴奏双向分离,mel_band_roformer,mel_band_roformer,vocals/instrumental,vocals|other,other,870.8,supported,首选,vocal|instrumental,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config two stems
338,essid_mel_vocal_v2.ckpt,人声,人声-伴奏双向分离,mel_band_roformer,mel_band_roformer,vocals/instrumental,vocals|other,other,870.8,supported,首选,vocal|instrumental,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config two stems
339,inst_v1_plus_test.ckpt,人声,人声-伴奏双向分离,mel_band_roformer,mel_band_roformer,vocals/instrumental,other|vocals,other,870.8,supported,首选,vocal|instrumental,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config two stems
340,inst_v1e.ckpt,人声,人声-伴奏双向分离,mel_band_roformer,mel_band_roformer,vocals/instrumental,other|vocals,other,870.8,supported,首选,vocal|instrumental,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config two stems
341,inst_v1e_plus.ckpt,人声,人声-伴奏双向分离,mel_band_roformer,mel_band_roformer,vocals/instrumental,other|vocals,other,870.8,supported,首选,vocal|instrumental,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config two stems
342,INSTV10.ckpt,人声,人声-伴奏双向分离,mel_band_roformer,mel_band_roformer,vocals/instrumental,other|vocals,other,870.7,supported,首选,vocal|instrumental,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config two stems
343,MDX23C-8KFFT-InstVoc_HQ_2.ckpt,人声,人声-伴奏双向分离,mdx23c,mdx23c,vocals/instrumental,,,427.3,supported,,vocal|instrumental,人声-伴奏双向分离,输出目标：vocals/instrumental。依据：InstVoc/Duality 名称,InstVoc/Duality 名称
344,melband_roformer_inst_v1.ckpt,人声,人声-伴奏双向分离,mel_band_roformer,mel_band_roformer,vocals/instrumental,other|vocals,other,870.8,supported,首选,vocal|instrumental,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config two stems
345,melband_roformer_inst_v2.ckpt,人声,人声-伴奏双向分离,mel_band_roformer,mel_band_roformer,vocals/instrumental,other|vocals,other,1501.5,supported,首选,vocal|instrumental,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config two stems
346,melband_roformer_instvoc_duality_v1.ckpt,人声,人声-伴奏双向分离,mel_band_roformer,mel_band_roformer,vocals/instrumental,Vocals|Instrumental,,1639.5,supported,首选,vocal|instrumental,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config two stems
347,melband_roformer_instvox_duality_v2.ckpt,人声,人声-伴奏双向分离,mel_band_roformer,mel_band_roformer,vocals/instrumental,Vocals|Instrumental,,1639.5,supported,首选,vocal|instrumental,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config two stems
348,metal_roformer_inst_mesk_preview.ckpt,人声,人声-伴奏双向分离,mel_band_roformer,unknown,vocals/instrumental,vocals|other,other,900.9,supported,首选,vocal|instrumental,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config two stems
349,model_mdx23c_ep_0_sdr_14.6632.ckpt,人声,人声-伴奏双向分离,mdx23c,mdx23c,vocals/instrumental,vocals|other,,427.3,supported,,vocal|instrumental,人声-伴奏双向分离,输出目标：vocals/instrumental。依据：config two stems,config two stems
350,model_vocals_htdemucs_sdr_8.78.ckpt,人声,人声-伴奏双向分离,htdemucs,htdemucs,vocals/instrumental,vocals|other,,160.3,supported,,vocal|instrumental,人声-伴奏双向分离,输出目标：vocals/instrumental。依据：config two stems,config two stems
351,model_vocals_mdx23c_sdr_10.17.ckpt,人声,人声-伴奏双向分离,mdx23c,mdx23c,vocals/instrumental,vocals|other,,427.3,supported,,vocal|instrumental,人声-伴奏双向分离,输出目标：vocals/instrumental。依据：config two stems,config two stems
352,neo_inst_beta.ckpt,人声,人声-伴奏双向分离,bs_roformer,bs_roformer,vocals/instrumental,vocals|other,other,195.0,supported,首选,vocal|instrumental,vocals（人声）,推荐依据：RoFormer 高质量双轨；适合通用歌曲人声分离。,config two stems
